# Word1	Word2	Edit Distance
buy	bye	1.0
by	bye	1.0
bight	bite	1.0
bight	byte	1.0
bite	byte	1.0
billed	build	1.0
bird	burd	1.0
blair	blare	1.0
blew	blue	1.0
bloc	block	1.0
boar	bore	1.0
board	bored	1.0
boarder	border	1.0
bode	bowed	1.0
bogey	bogie	0.75
bold	bowled	1.0
bolder	boulder	1.0
bole	boll	1.0
bole	bowl	1.0
boll	bowl	1.0
boos	booze	1.0
born	bourn	1.0
born	bourne	1.0
bourn	bourne	1.0
borough	burro	0.666666666667
borough	burrow	0.666666666667
burro	burrow	1.0
bough	bow	1.0
bouillon	bullion	0.428571428571
boy	buoy	0.333333333333
brae	bray	1.0
brake	break	1.0
breach	breech	1.0
bread	bred	1.0
brewed	brood	1.0
brews	bruise	1.0
bridal	bridle	1.0
broach	brooch	1.0
broom	brougham	0.666666666667
brows	browse	1.0
brut	brute	1.0
buccal	buckle	0.666666666667
bur	burr	1.0
burger	burgher	1.0
burley	burly	1.0
bus	buss	1.0
bused	bussed	1.0
bused	bust	1.0
bussed	bust	1.0
but	butt	1.0
cache	cash	1.0
cain	cane	1.0
calix	calyx	1.0
calk	caulk	1.0
call	caul	1.0
callous	callus	1.0
camara	camera	0.666666666667
can't	cant	1.0
cannon	canon	1.0
canter	cantor	1.0
canvas	canvass	1.0
capital	capitol	1.0
carat	carrot	1.0
carat	karat	1.0
carrot	karat	1.0
carol	carrel	1.0
cast	caste	1.0
caster	castor	1.0
caudal	caudle	1.0
caught	court	0.75
caw	core	0.666666666667
caw	corps	0.666666666667
core	corps	1.0
cay	key	0.5
cay	quay	1.0
key	quay	1.0
cedar	ceder	1.0
cede	seed	1.0
seal	seel	1.0
ceiling	sealing	1.0
cel	cell	1.0
cel	sell	1.0
cell	sell	1.0
cellar	seller	1.0
cellar	seller	1.0
cents	scents	1.0
cents	sense	1.0
scents	sense	0.8
censer	censor	1.0
censer	sensor	1.0
censor	sensor	1.0
census	senses	0.666666666667
cent	scent	1.0
cent	sent	1.0
scent	sent	1.0
sear	seer	0.666666666667
sear	sere	1.0
seer	sere	0.666666666667
cereal	serial	1.0
chaise	shays	1.0
champagne	champaign	0.833333333333
chance	chants	0.8
chard	charred	1.0
chary	cherry	0.75
chased	chaste	1.0
chews	choose	1.0
chic	sheik	1.0
chili	chilly	1.0
choir	quire	0.75
choral	coral	1.0
chorale	corral	1.0
chord	cord	1.0
chute	shoot	1.0
cinque	sank	0.75
cinque	sink	1.0
cinque	sync	1.0
sink	sync	1.0
cist	cyst	1.0
cist	kissed	0.75
cist	kist	0.75
kissed	kist	1.0
cite	sight	1.0
cite	site	1.0
sight	site	1.0
clause	claws	1.0
click	clique	0.75
click	klick	1.0
clique	klick	0.75
coal	cole	1.0
coal	kohl	1.0
cole	kohl	1.0
coarse	course	1.0
coat	cote	1.0
coax	cokes	1.0
cocks	cox	1.0
coco	cocoa	0.75
collard	collared	1.0
colonel	kernel	1.0
color	culler	1.0
come	cum	1.0
complacent	complaisant	1.0
complement	compliment	0.9
con	conn	1.0
con	khan	1.0
conn	khan	1.0
conch	conk	1.0
confectionary	confectionery	1.0
coo	coup	1.0
coolly	coulee	1.0
correspondence	correspondents	0.923076923077
cosey	cosy	1.0
cosey	cozy	1.0
cosy	cozy	1.0
cot	khat	1.0
council	counsel	1.0
councilor	counselor	1.0
courtesy	curtsy	0.833333333333
craft	kraft	1.0
creak	creek	1.0
crewel	cruel	1.0
crews	cruise	1.0
crews	cruse	1.0
cruise	cruse	1.0
cross	crosse	0.75
crumby	crummy	0.833333333333
cue	kyu	1.0
cue	queue	1.0
kyu	queue	1.0
curb	kerb	1.0
cymbal	symbol	1.0
dam	damn	1.0
days	daze	1.0
dear	deer	1.0
dense	dents	0.8
dependence	dependents	0.9
depravation	deprivation	1.0
descendant	descendent	1.0
descent	dissent	1.0
desert	dessert	1.0
deuce	dues	0.666666666667
deuce	juice	0.666666666667
dues	juice	0.333333333333
deviance	deviants	0.875
dew	do	1.0
dew	due	1.0
do	due	1.0
die	dye	1.0
dike	dyke	1.0
dire	dyer	1.0
disburse	disperse	0.833333333333
disc	disk	1.0
discreet	discrete	1.0
discussed	disgust	0.857142857143
dissidence	dissidents	0.777777777778
do	doe	0.5
do	doh	0.5
do	dough	0.5
doe	doh	1.0
doe	dough	1.0
doh	dough	1.0
doc	dock	1.0
does	doze	0.666666666667
done	dun	1.0
dost	dust	0.75
dour	dower	1.0
douse	dowse	1.0
draft	draught	1.0
dray	drey	1.0
droop	drupe	1.0
dual	duel	1.0
dual	jewel	0.75
dual	joule	0.666666666667
duel	jewel	0.75
duel	joule	0.5
jewel	joule	1.0
ducked	duct	1.0
dyeing	dying	1.0
earn	erne	1.0
earn	urn	1.0
erne	urn	1.0
eave	eve	1.0
elicit	illicit	0.833333333333
ensure	insure	1.0
epic	epoch	0.75
equivalence	equivalents	0.909090909091
er	err	0.0
erk	irk	1.0
ewe	yew	1.0
ewe	you	1.0
yew	you	1.0
ewes	use	1.0
ewes	youse	1.0
use	youse	1.0
exalt	exult	0.833333333333
eyelet	islet	0.75
eyer	ire	0.5
fairy	ferry	1.0
fain	fane	1.0
fain	feign	1.0
fane	feign	1.0
faint	feint	1.0
fair	fare	1.0
farmer	pharma	0.8
faro	farrow	0.75
faro	pharaoh	1.0
farrow	pharaoh	0.75
farther	father	0.8
fate	fete	1.0
fay	fey	1.0
faze	phase	1.0
feat	feet	1.0
few	phew	1.0
fiance	fiancee	0.666666666667
find	fined	1.0
fir	fur	1.0
firs	furs	1.0
fisher	fissure	1.0
flack	flak	1.0
flair	flare	1.0
flaw	floor	0.75
flea	flee	1.0
flecks	flex	1.0
flew	flu	1.0
flew	flue	1.0
flu	flue	1.0
flier	flyer	1.0
floc	flock	1.0
floe	flow	1.0
flour	flower	1.0
for	fore	1.0
for	four	1.0
fore	four	1.0
forego	forgo	1.0
foreword	forward	0.833333333333
formally	formerly	0.857142857143
fort	forte	1.0
fort	fought	0.75
forte	fought	0.75
forth	fourth	1.0
foul	fowl	1.0
franc	frank	1.0
frees	freeze	1.0
frees	frieze	1.0
freeze	frieze	1.0
friar	fryer	1.0
gaff	gaffe	1.0
gage	gauge	1.0
gait	gate	1.0
gaiter	gator	1.0
gassed	gast	1.0
gored	gourd	1.0
gays	gaze	1.0
gel	jell	1.0
genes	jeans	1.0
gest	jest	1.0
gibe	jibe	1.0
gild	guild	1.0
gilt	guilt	1.0
gnaw	nor	0.666666666667
gneiss	nice	1.0
gnu	knew	1.0
gnu	new	1.0
gnu	nu	1.0
knew	new	1.0
knew	nu	1.0
new	nu	1.0
gorilla	guerilla	1.0
grate	great	1.0
grays	graze	1.0
greave	grieve	1.0
grisly	grizzly	1.0
groan	grown	1.0
grocer	grosser	1.0
guarantee	guaranty	1.0
guessed	guest	1.0
guise	guys	1.0
hay	hey	1.0
haik	hike	0.666666666667
hail	hale	1.0
hair	hare	1.0
hall	haul	1.0
halve	have	1.0
handsome	hansom	1.0
hangar	hanger	1.0
hart	heart	1.0
haw	haw	1.0
haw	whore	0.666666666667
haw	whore	0.666666666667
haw	hoar	0.666666666667
haw	whore	0.666666666667
hoar	whore	1.0
hoard	horde	1.0
hays	haze	1.0
he'd	heed	1.0
he'll	heal	1.0
he'll	heel	1.0
heal	heel	1.0
heald	healed	1.0
heald	heeled	1.0
healed	heeled	1.0
hear	here	1.0
heard	herd	1.0
hears	here's	0.75
height	hight	1.0
heroin	heroine	1.0
hertz	hurts	1.0
hew	hue	1.0
hi	high	1.0
higher	hire	1.0
him	hymn	1.0
ho	hoe	1.0
hoarse	horse	1.0
hoc	hock	1.0
hoc	hough	0.333333333333
hock	hough	0.333333333333
hoes	hose	1.0
hold	holed	1.0
hole	whole	1.0
holy	wholly	1.0
holm	hom	0.666666666667
holm	home	1.0
hom	home	0.666666666667
hoo	who	1.0
hoop	whoop	0.75
hostel	hostile	1.0
hour	our	1.0
house	how's	0.666666666667
humerus	humorous	1.0
hurdle	hurtle	0.8
idle	idol	1.0
idle	idyll	1.0
idol	idyll	1.0
immanent	imminent	1.0
impassable	impossible	0.888888888889
impatience	impatiens	0.875
in	inn	1.0
incidence	incidents	0.888888888889
incite	insight	0.6
incompetence	incompetents	0.833333333333
independence	independents	0.916666666667
indict	indite	1.0
innocence	innocents	0.875
intense	intents	0.857142857143
it's	its	1.0
jam	jamb	1.0
jinks	jinx	1.0
kite	kyte	1.0
knave	nave	1.0
knead	kneed	1.0
knead	need	1.0
kneed	need	1.0
knee	nee	1.0
knight	night	1.0
knit	nit	1.0
knock	nock	1.0
knot	not	1.0
know	no	1.0
knows	noes	1.0
knows	nose	1.0
noes	nose	1.0
krona	krone	1.0
lager	logger	1.0
lac	lack	1.0
lacks	lax	1.0
lade	laid	1.0
lain	lane	1.0
lam	lamb	1.0
lama	llama	1.0
laps	lapse	1.0
larva	lava	0.8
lase	lays	1.0
lase	leas	0.666666666667
lase	leis	1.0
lase	leys	1.0
lays	leas	0.666666666667
lays	leis	1.0
lays	leys	1.0
leas	leis	0.666666666667
leas	leys	0.666666666667
leis	leys	1.0
laser	lazar	1.0
law	lore	0.666666666667
lay	lea	0.5
lay	lei	1.0
lay	ley	1.0
lea	lei	0.5
lea	ley	0.5
lei	ley	1.0
lea	lee	1.0
lea	li	1.0
lee	li	1.0
leach	leech	1.0
lead	led	1.0
leader	lieder	1.0
leader	liter	0.75
lieder	liter	0.75
leaf	lief	1.0
leak	leek	1.0
lean	lien	1.0
leased	least	1.0
leaven	levin	0.8
leaver	lever	1.0
less	loess	0.5
lessen	lesson	1.0
lesser	lessor	1.0
levee	levy	1.0
liar	lyre	0.666666666667
lichen	liken	1.0
licht	licked	1.0
licker	liquor	1.0
lie	lye	1.0
lieu	loo	1.0
lightening	lightning	0.857142857143
links	lynx	1.0
literal	littoral	1.0
lo	low	1.0
load	lode	1.0
loan	lone	1.0
loath	loathe	0.666666666667
loch	lock	1.0
loch	lough	0.333333333333
lock	lough	0.333333333333
locks	lox	1.0
loop	loupe	1.0
loos	lose	1.0
loose	luce	1.0
loot	lute	1.0
mac	mach	0.666666666667
mac	mack	1.0
mach	mack	0.666666666667
made	maid	1.0
mail	male	1.0
main	mane	1.0
main	mein	0.666666666667
mane	mein	0.666666666667
maize	maze	1.0
mall	maul	1.0
manna	manner	0.75
manna	manor	0.75
manner	manor	1.0
mantel	mantle	1.0
marc	mark	1.0
marc	marque	1.0
mark	marque	1.0
mare	mayor	0.333333333333
marquee	marquis	0.8
marshal	martial	1.0
marten	martin	1.0
maser	mazer	1.0
massed	mast	1.0
mat	matte	1.0
maw	moor	0.333333333333
maw	more	0.666666666667
moor	more	0.666666666667
me	mi	1.0
mean	mien	1.0
meat	meet	1.0
meat	mete	1.0
meet	mete	1.0
meatier	meteor	1.0
medal	meddle	1.0
metal	mettle	1.0
mic	mike	0.666666666667
might	mite	1.0
mil	mill	1.0
mince	mints	0.8
mind	mined	1.0
miner	minor	1.0
missal	missile	1.0
missed	mist	1.0
misses	missus	1.0
moat	mote	1.0
mode	mowed	1.0
moose	mousse	1.0
morn	mourn	1.0
morning	mourning	1.0
much	mutch	1.0
mucous	mucus	1.0
muscle	mussel	1.0
mustard	mustered	1.0
nay	nee	0.5
naval	navel	1.0
nickel	nickle	1.0
nicks	nix	1.0
nigh	nye	1.0
none	nun	1.0
noose	nous	1.0
ode	owed	1.0
oh	owe	1.0
one	won	1.0
oohs	ooze	1.0
ordinance	ordnance	0.875
overdo	overdue	1.0
overseas	oversees	0.833333333333
pa	pah	0.5
pa	par	0.666666666667
pa	parr	0.666666666667
pa	pas	0.666666666667
pah	par	0.333333333333
pah	parr	0.333333333333
pah	pas	0.333333333333
par	parr	1.0
par	pas	0.666666666667
parr	pas	0.666666666667
paced	paste	1.0
packed	pact	1.0
packs	pax	1.0
paean	peon	1.0
pail	pale	1.0
pain	pane	1.0
pair	pare	1.0
pair	pear	1.0
pare	pear	1.0
palate	palette	1.0
palate	pallet	1.0
palette	pallet	1.0
parse	pass	0.5
pascal	paschal	0.333333333333
passed	past	1.0
pasta	pastor	0.6
patten	pattern	0.8
patience	patients	0.857142857143
pause	paws	1.0
pause	pores	0.75
pause	pours	0.75
paws	pores	0.75
paws	pours	0.75
pores	pours	1.0
paw	poor	0.333333333333
paw	pore	0.666666666667
paw	pour	0.666666666667
poor	pore	0.666666666667
poor	pour	0.666666666667
pore	pour	1.0
pawn	porn	0.75
pea	pee	1.0
peace	piece	1.0
peak	peek	1.0
peak	pique	1.0
peek	pique	1.0
peal	peel	1.0
peas	pease	1.0
pedal	peddle	1.0
peer	pier	1.0
penance	pennants	0.857142857143
per	purr	1.0
perse	purse	1.0
pew	pugh	1.0
phosphorous	phosphorus	1.0
pi	pie	1.0
pic	pick	1.0
picks	pix	1.0
pistil	pistol	1.0
plain	plane	1.0
plainer	planar	1.0
plainer	planer	1.0
planar	planer	1.0
plait	plate	1.0
pleas	please	1.0
plum	plumb	1.0
pocks	pox	1.0
pokey	poky	1.0
pole	poll	1.0
populace	populous	1.0
praise	prays	1.0
praise	preys	1.0
prays	preys	1.0
pray	prey	1.0
precedence	precedents	0.9
precedence	presidents	0.777777777778
precedents	presidents	0.9
premier	premiere	1.0
presence	presents	0.875
pressed	prest	1.0
pride	pried	1.0
prier	prior	1.0
pries	prize	1.0
prince	prints	0.833333333333
principal	principle	1.0
profit	prophet	1.0
pros	prose	1.0
psalter	salter	1.0
psi	sigh	1.0
psi	xi	0.0
sigh	xi	0.0
purest	purist	0.857142857143
quarts	quartz	1.0
quince	quints	0.833333333333
rack	wrack	1.0
racket	racquet	1.0
racks	rax	1.0
raid	rayed	1.0
rain	reign	1.0
rain	rein	1.0
reign	rein	1.0
raise	rays	1.0
raise	raze	1.0
rays	raze	1.0
raiser	razor	1.0
rancor	ranker	1.0
rap	wrap	1.0
rapped	rapt	1.0
rapped	wrapped	1.0
rapt	wrapped	1.0
raw	roar	0.333333333333
ray	re	1.0
read	red	1.0
read	redd	1.0
red	redd	1.0
read	reed	1.0
real	reel	1.0
reave	reeve	1.0
recede	reseed	0.8
reck	wreck	1.0
reek	wreak	1.0
residence	residents	0.888888888889
rest	wrest	1.0
review	revue	0.8
rex	wrecks	1.0
rho	roe	1.0
rho	row	1.0
roe	row	1.0
roes	rose	1.0
roes	rows	1.0
rose	rows	1.0
right	rite	1.0
right	wright	1.0
right	write	1.0
rite	wright	1.0
rite	write	1.0
wright	write	1.0
ring	wring	1.0
road	rode	1.0
road	rowed	1.0
rode	rowed	1.0
roc	rock	1.0
roil	royal	0.75
role	roll	1.0
roux	rue	1.0
rood	rude	1.0
roos	ruse	1.0
root	route	1.0
rota	rotor	0.75
rote	wrote	1.0
rough	ruff	1.0
rouse	rows	0.666666666667
rout	route	1.0
rung	wrung	1.0
rye	wry	1.0
sac	sack	1.0
saccharin	saccharine	0.833333333333
sacks	sacs	1.0
sacks	sax	1.0
sacs	sax	1.0
sail	sale	1.0
sane	seine	0.75
sari	sorry	1.0
sauce	source	0.75
sault	sue	0.25
saver	savor	1.0
saw	soar	0.666666666667
saw	sore	0.666666666667
soar	sore	1.0
scene	seen	1.0
scull	skull	1.0
sea	see	1.0
sea	si	1.0
see	si	1.0
seam	seem	1.0
seaman	seamen	1.0
seaman	semen	1.0
seamen	semen	1.0
seas	sees	1.0
seas	seize	1.0
sees	seize	1.0
sects	sex	0.8
seek	sic	0.666666666667
senate	sennet	1.0
serf	surf	1.0
serge	surge	1.0
sew	so	1.0
sew	sow	1.0
so	sow	1.0
sewed	sowed	1.0
sewer	sower	0.666666666667
sewn	sown	1.0
shake	sheik	0.666666666667
she	shea	0.5
shear	sheer	1.0
shoe	shoo	1.0
shone	shown	1.0
sic	sick	1.0
side	sighed	1.0
sighs	size	1.0
sign	sine	1.0
slay	sleigh	1.0
sleight	slight	1.0
slew	slough	0.5
sloe	slow	1.0
soared	sword	1.0
sol	sole	1.0
sol	soul	1.0
sole	soul	1.0
some	sum	1.0
son	sun	1.0
sonny	sunny	1.0
soot	suit	0.666666666667
sort	sought	0.75
spa	spar	0.75
spec	speck	1.0
spits	spitz	1.0
spoor	spore	0.75
stade	staid	1.0
stade	stayed	1.0
staid	stayed	1.0
staff	staph	1.0
stair	stare	1.0
stake	steak	1.0
stalk	stork	0.8
stanch	staunch	0.8
stationary	stationery	1.0
steal	steel	1.0
step	steppe	1.0
stile	style	1.0
stoop	stoup	1.0
storey	story	1.0
straight	strait	1.0
succor	sucker	1.0
suede	swayed	1.0
suite	sweet	1.0
tacked	tact	1.0
tacks	tax	1.0
tail	tale	1.0
tai	tie	1.0
tai	tye	1.0
tie	tye	1.0
talk	torque	0.75
tartar	tarter	1.0
taught	taut	1.0
taught	tort	0.75
taught	torte	0.75
taut	tort	0.75
taut	torte	0.75
tort	torte	1.0
tea	tee	1.0
tea	ti	1.0
tee	ti	1.0
team	teem	1.0
tear	tier	0.666666666667
teas	tease	1.0
teas	tees	1.0
teas	tis	0.666666666667
tease	tees	1.0
tease	tis	0.666666666667
tees	tis	0.666666666667
tel	tell	1.0
tenner	tenor	1.0
tense	tents	0.8
the	thee	0.5
their	there	1.0
their	they're	1.0
there	they're	1.0
threw	through	1.0
throne	thrown	1.0
thyme	time	0.666666666667
tic	tick	1.0
ticks	tics	1.0
tide	tied	1.0
tier	tire	0.333333333333
tier	tyre	0.666666666667
tire	tyre	0.666666666667
tighten	titan	1.0
til	till	1.0
timber	timbre	1.0
to	too	1.0
to	two	1.0
too	two	1.0
toad	toed	1.0
toad	towed	1.0
toed	towed	1.0
toe	tow	1.0
told	tolled	1.0
tole	toll	1.0
ton	tonne	1.0
tongue	tung	1.0
toon	tune	1.0
tor	tore	1.0
tough	tuff	1.0
toughed	tuft	1.0
tracked	tract	1.0
tray	trey	1.0
tri	try	1.0
troop	troupe	1.0
tucks	tux	1.0
turban	turbine	0.8
undo	undue	1.0
vail	vale	1.0
vail	veil	1.0
vale	veil	1.0
vain	vane	1.0
vain	vein	1.0
vane	vein	1.0
variance	variants	0.875
vary	very	1.0
verses	versus	1.0
vial	vile	0.75
vice	vise	1.0
wack	whack	1.0
wacks	wax	1.0
wacks	whacks	1.0
wax	whacks	1.0
wade	weighed	1.0
wail	wale	1.0
wail	whale	1.0
wale	whale	1.0
wain	wane	1.0
waist	waste	1.0
wait	weight	1.0
waive	wave	1.0
want	wont	0.75
war	wore	1.0
ware	wear	1.0
ware	where	1.0
wear	where	1.0
warn	worn	1.0
watt	what	0.666666666667
way	weigh	1.0
way	whey	1.0
weigh	whey	1.0
we'd	weed	1.0
we'll	wheel	1.0
we're	weir	1.0
we've	weave	1.0
we	wee	1.0
weak	week	1.0
weakly	weekly	1.0
wheeled	wield	1.0
weather	whether	1.0
wen	when	1.0
wet	whet	1.0
which	witch	1.0
whicker	wicker	1.0
while	wile	1.0
win	wynn	1.0
whine	wine	1.0
wind	wined	1.0
whirl	whorl	1.0
whirled	world	1.0
whit	wit	1.0
white	wight	1.0
whither	wither	1.0
who's	whose	1.0
whoa	woe	1.0
why	wye	1.0
whys	wise	1.0
wood	would	1.0
worst	wurst	1.0
yack	yak	1.0
yaw	yore	0.666666666667
yaw	you're	0.333333333333
yaw	your	0.666666666667
yore	you're	0.666666666667
yore	your	1.0
you're	your	1.0
yoke	yolk	1.0
you'll	yule	1.0
love	sex	0.0
tiger	cat	0.0
tiger	tiger	1.0
book	paper	0.0
computer	keyboard	0.125
computer	internet	0.125
plane	car	0.0
train	car	0.0
telephone	communication	0.166666666667
television	radio	0.0
media	radio	0.4
drug	abuse	0.0
bread	butter	0.25
cucumber	potato	0.0
doctor	nurse	0.0
professor	doctor	0.142857142857
student	professor	0.0
smart	student	0.285714285714
smart	stupid	0.166666666667
company	stock	0.0
stock	market	0.166666666667
stock	phone	0.0
stock	cd	0.25
stock	jaguar	0.0
stock	egg	0.0
fertility	egg	0.0
stock	live	0.0
stock	life	0.0
book	library	0.142857142857
bank	money	0.0
wood	forest	0.0
money	cash	0.0
professor	cucumber	0.125
king	cabbage	0.2
king	queen	0.25
king	rook	0.0
bishop	rabbi	0.0
jerusalem	israel	0.25
jerusalem	palestinian	0.181818181818
holy	sex	0.0
fuck	sex	0.25
maradona	football	0.0
football	soccer	0.0
football	basketball	0.444444444444
football	tennis	0.0
tennis	racket	0.2
arafat	peace	0.0
arafat	terror	0.166666666667
arafat	jackson	0.0
law	lawyer	0.5
movie	star	0.0
movie	popcorn	0.0
movie	critic	0.0
movie	theater	0.0
physics	proton	0.0
physics	chemistry	0.125
space	chemistry	0.125
alcohol	chemistry	0.125
vodka	gin	0.0
vodka	brandy	0.0
drink	car	0.0
drink	ear	0.2
drink	mouth	0.0
drink	eat	0.0
baby	mother	0.0
drink	mother	0.0
car	automobile	0.0
gem	jewel	0.333333333333
journey	voyage	0.0
boy	lad	0.0
coast	shore	0.0
asylum	madhouse	0.0
magician	wizard	0.142857142857
midday	noon	0.0
furnace	stove	0.0
food	fruit	0.5
bird	cock	0.0
bird	crane	0.0
tool	implement	0.111111111111
brother	monk	0.2
crane	implement	0.111111111111
lad	brother	0.0
journey	car	0.0
monk	oracle	0.166666666667
cemetery	woodland	0.0
food	rooster	0.2
coast	hill	0.0
forest	graveyard	0.0
shore	woodland	0.0
monk	slave	0.0
coast	forest	0.333333333333
lad	wizard	0.2
chord	smile	0.0
glass	magician	0.0
noon	string	0.0
rooster	voyage	0.0
money	dollar	0.0
money	cash	0.0
money	currency	0.333333333333
money	wealth	0.0
money	property	0.142857142857
money	possession	0.0
money	bank	0.0
money	deposit	0.0
money	withdrawal	0.0
money	laundering	0.142857142857
money	operation	0.0
tiger	jaguar	0.166666666667
tiger	feline	0.0
tiger	carnivore	0.0
tiger	mammal	0.0
tiger	animal	0.0
tiger	organism	0.111111111111
tiger	fauna	0.0
tiger	zoo	0.0
psychology	psychiatry	0.5
psychology	anxiety	0.25
psychology	fear	0.0
psychology	depression	0.0
psychology	clinic	0.125
psychology	doctor	0.125
psychology	freud	0.0
psychology	mind	0.0
psychology	health	0.125
psychology	science	0.25
psychology	discipline	0.125
psychology	cognition	0.0
planet	star	0.0
planet	constellation	0.181818181818
planet	moon	0.166666666667
planet	sun	0.166666666667
planet	galaxy	0.142857142857
planet	space	0.0
planet	astronomer	0.222222222222
precedent	example	0.111111111111
precedent	information	0.111111111111
precedent	cognition	0.222222222222
precedent	law	0.0
precedent	collection	0.222222222222
precedent	group	0.111111111111
precedent	antecedent	0.6
cup	coffee	0.25
cup	tableware	0.0
cup	article	0.142857142857
cup	artifact	0.0
cup	object	0.0
cup	entity	0.0
cup	drink	0.0
cup	food	0.0
cup	substance	0.125
cup	liquid	0.166666666667
jaguar	cat	0.166666666667
jaguar	car	0.166666666667
energy	secretary	0.222222222222
secretary	senate	0.444444444444
energy	laboratory	0.111111111111
computer	laboratory	0.0
weapon	secret	0.166666666667
investigation	effort	0.0833333333333
mars	water	0.0
mars	scientist	0.0
news	report	0.0
canyon	landscape	0.285714285714
image	surface	0.2
discovery	space	0.125
water	seepage	0.0
sign	recess	0.2
wednesday	news	0.166666666667
mile	kilometer	0.125
computer	news	0.25
territory	surface	0.0
atmosphere	landscape	0.125
president	medal	0.333333333333
war	troops	0.0
record	number	0.0
skin	eye	0.0
japanese	american	0.125
theater	history	0.333333333333
volunteer	motto	0.125
prejudice	recognition	0.1
decoration	valor	0.125
century	year	0.0
century	nation	0.0
delay	racism	0.0
delay	news	0.0
minister	party	0.142857142857
peace	plan	0.25
minority	peace	0.0
attempt	peace	0.0
government	crisis	0.125
deployment	departure	0.333333333333
deployment	withdrawal	0.222222222222
energy	crisis	0.0
announcement	news	0.111111111111
announcement	effort	0.111111111111
stroke	hospital	0.125
disability	death	0.1
victim	emergency	0.125
treatment	recovery	0.125
journal	association	0.111111111111
doctor	personnel	0.0
doctor	liability	0.111111111111
liability	insurance	0.0
school	center	0.25
reason	hypertension	0.2
reason	criterion	0.333333333333
hundred	percent	0.0
harvard	yale	0.0
hospital	infrastructure	0.0833333333333
death	row	0.0
death	inmate	0.0
lawyer	evidence	0.0
life	death	0.0
life	term	0.0
word	similarity	0.0
board	recommendation	0.0833333333333
governor	interview	0.142857142857
opec	country	0.0
peace	atmosphere	0.125
peace	insurance	0.125
territory	kilometer	0.0
travel	activity	0.25
competition	price	0.1
consumer	confidence	0.222222222222
consumer	energy	0.142857142857
problem	airport	0.142857142857
car	flight	0.0
credit	card	0.333333333333
credit	information	0.2
hotel	reservation	0.0
grocery	money	0.166666666667
registration	arrangement	0.0909090909091
arrangement	accommodation	0.1
month	hotel	0.0
type	kind	0.25
arrival	hotel	0.2
bed	closet	0.0
closet	clothes	0.5
situation	conclusion	0.222222222222
situation	isolation	0.5
impartiality	interest	0.166666666667
direction	combination	0.3
street	place	0.0
street	avenue	0.0
street	block	0.0
street	children	0.142857142857
listing	proximity	0.1
listing	category	0.0
cell	phone	0.0
production	hike	0.125
benchmark	index	0.125
media	trading	0.166666666667
media	gain	0.0
dividend	payment	0.125
dividend	calculation	0.0
calculation	computation	0.636363636364
currency	market	0.0
opec	oil	0.0
oil	stock	0.0
announcement	production	0.222222222222
announcement	warning	0.111111111111
profit	warning	0.166666666667
profit	loss	0.0
dollar	yen	0.0
dollar	buck	0.0
dollar	profit	0.166666666667
