: homophones-analogy-type-I
caret carat manor manna
isle aisle ewes youse
knead need tody toady
consultor consulter millinery millenary
where ware wynn whin
house hows male mail
camera camara clack claque
ley lei lough lock
berry bury kyu cue
liquor licker rode road
sigh xi thee the
gnaw nor lays leis
popery potpourri puttee putty
baler bailor braise brays
bust bussed deviser divisor
gel jell storey story
mucous mucus sloe slow
meet mete team teem
galley gally stoup stupe
chronicle chronical leid laid
ai eye knew gnu
parole parol sibilants sibilance
fur fir tach tack
cosher kosher fane fain
hoc hough penni penny
bees bise bogy bogey
luce loose roomie roomy
hie high wave waive
beetle betel holm home
axle axel pah par
yews use house how's
feet feat incidents incidence
serous cirrus stationary stationery
roo rue word whirred
aerial areal cist kist
mousse moose wynd whined
sere sear presser pressor
carpel carpal plaice place
brae bray cession session
haw haw we'll wheal
caddy caddie wall waul
base bass does doze
guaranty guarantee pensile pencel
bare bear urn erne
pact packed pallet palate
coal cole you're yore
casque cask cellar sellar
orc auk prophesy prophecy
laps lapse weal we'll
sigh xi syne sign
signet cygnet file phial
senser censer cruse crews
cede seed hears here's
illicit elicit lux luxe
rum rhumb throw throe
hurts hertz saver savor
baron barren pours paws
millinery millenary whin wynn
faker fakir gaud gourde
call col forbear forebear
basal basil core corps
coin quoin idle idol
serrate cerate tael tail
cops copse suit soot
chorale corral weal wheal
laze leas sacque sack
as asse versed verst
residence residents tics tix
pressed prest stair stare
arms alms forte fort
llama lama stele steel
censer censor lase lays
adds ads cist cyst
hie high tray trey
serf surf whit wit
coulis coolie martial marshal
bale bail giro gyro
brae bray pic pick
calculus calculous villus villous
higher hire mucus mucous
anti ante caulk calk
aire ayre bailor baler
bird burred whys wyes
sere sear jealousy jalousie
drachm dram vile vial
cash cache lays leys
remittence remittance white wight
caught court wave waive
cops copse gourd gorde
lyre liar pics pyx
bowled bold inveighed invade
picks pyx whine wine
ait eight deviser divisor
leak leek vary very
leys leas sword soared
balled bawled marc mark
berth birth laid lade
mode mowed saver savor
tyre tire wit whit
bell belle laser lazar
pah parr poler poller
elusion allusion whee wee
pics pyx tahr tar
court caught mho mot
pawl pall pees pes
clabbered clapboard traitorous traitoress
instillation installation populous populace
seer sear limn limb
lei lay pendant pendent
cedar seeder whin win
boll bole voracious veracious
scents cense tope taupe
brae bray camara camera
seine sane spaed spayed
adulterous adulteress seer sear
holy wholly xi scye
casque cask sou sault
manna manor petrel petrol
bowled bold braise braze
burrow borough lief leaf
gator gaiter tighten titan
aire ere tale taille
rude rued statice status
allusion illusion oke oak
sore saw valance valence
crewed crude rein reign
flue flew gyro giro
cygnet signet kneed need
mack mac much mutch
doe doh guarantee guaranty
attendants attendance climb clime
seeder ceder do dew
jeans genes mack mach
chin chine coolie coolly
bomb balm levee levy
quartz quarts spae spay
vain vane wot watt
tuba tuber wind wined
throne thrown y'all yawl
absents absence saver savor
healed heald impassible impassable
populace populus therefore therefor
phase fays pique peak
continents continence maid made
fair fayre gristly grisly
roomer rumor wheeled weald
complaisant complacent droop drupe
doughs does fane feign
belle bell taille tail
plait plate wade weighed
coal kohl sacque sac
champagne champaign eave eve
arc ark loo lieu
bel bell buckle buccal
handsome hansom rued rood
cursor curser marque marc
hurds herds instillation installation
leaven levin salter psalter
burr bur maid made
sense scents senser censor
are air seal ceil
bailor bailer plate plait
laager logger summery summary
caudle caudal cirrous cirrus
bold bowled chin chine
aerial areal subtler sutler
serous cirrous politic politick
councilor counselor spitz spits
incidents incidence ordinance ordnance
claws clause knead need
impotents impotence retarred retard
khan con phrase frays
oral aural read redd
quad quod sennit sennet
bailor baler dependence dependents
peal peel squaller squalor
apatite appetite nee neigh
click clique whore haw
phase fays peke peak
pea pe shone shown
chord cored peddle pedal
pectin pecten plural pleural
pass parse watt wot
courtesy curtsy maw more
booty bootee tor tore
sealing ceiling kist cist
faun fawn plainer planar
torcher torture witch which
bi by sax sacques
auk awk mettle metal
attendance attendants fur fir
chock choc roomie roomy
ai aye maw more
hay hey parred pard
casque cask read redd
manna manor medal meddle
chili chilly titer tighter
axil axle mho mot
silents silence whined wined
arms alms presidents precedence
chased chaste whole hole
castor caster file phial
mho mow subtler sutler
curser cursor sequence sequents
autarky autarchy grieve greave
frieze freeze grievance grievants
ante anti bi by
carol carrel invade inveighed
cents cense faille file
done dun loot lute
eye i ire eyer
cole coal jam jamb
drupe droop rued rude
as ass slight sleight
strider stridor too two
pare pair sennit senate
correspondents correspondence heal he'll
mil mill wheal weal
braze braise clique click
blare blair masque mask
bees bise prints prince
callous callus paws pores
principal principle root route
doh dough wurst worst
peas pease poll pole
camara camera fat phat
seal seel holm home
aisle i'll taught tort
course coarse psalter salter
prays prase raiser razor
bailer baler disgust discussed
pouf pouffe seaman seamen
oppose appose we've weave
adherence adherents doc dock
bailie bailey uncle uncal
asse ass plaice place
sere seer rota rotor
lessen lesson whirled whorled
lei lea weaver weever
leas leys tailor tailer
tuba tuber we've weave
click clique crummie crumby
cosey cozy mho mot
chukker chucker gristly grizzly
ayre heir hows how's
brews bruise mien mesne
grocer grosser tope taupe
censer senser hae heigh
mynah miner pean peen
flyer flier son sunn
shoot chute rang wrang
cross crosse resister resistor
or awe bare bear
calk caulk rex wrecks
coin quoin picks pics
latches laches rapped rapt
handsome hansom pokey poky
basest bassist chanty shanty
bowed bode rough ruff
putty puttee traitorous traitoress
faery fairy mi me
brute brut rayed raid
borough burro laid lade
queue cue noes nose
tents tense villain villein
ide eyed lane lain
reed read tenor tenner
bridle bridal emerge immerge
bust bused sashay sachet
murderess murderous tael tale
seel seal stare stair
champaign champagne gaud gorde
cirrous serous cross crosse
quartz quarts y'all yawl
castor caster hae hay
rays raze which witch
adherents adherence calk caulk
plantar planter sow so
rose rhos tee ti
braid brayed confectionary confectionery
gilt guilt hoop whoop
use yews lays laze
bight byte sellar seller
oar ore grosser grocer
awe or humerus humorous
reel real sprits spritz
eye i leaf lief
eye ai hears here's
you yew rheumy roomy
oar awe cue kyu
aerie aery ewe you
by buy razor razer
knew new vale vail
deuce juice wade weighed
phial file their there
crummy crummie stair stare
pee pea rest wrest
adolescents adolescence ring wring
nae nay pours pause
dying dyeing logger laager
sheik chic phrase fraise
handsome hansom paid payed
mode mowed where wear
ceder cedar tale tail
heroin heroine pour pore
xi scye shoo shoe
coolly coolie holey holy
islet eyelet riot ryot
hom home sacs sax
please pleas reave reeve
serrate cerate rout route
coolie coulis sax sacs
lam lamb wright write
censor sensor poller polar
douce deuce fare fair
craft kraft loath loathe
morn mourn neep neap
red read stoop stoup
oak oke wring ring
are heir lone loan
aire eyre settlor settler
color culler vail veil
phi fie pa pah
home hom pyx pics
cents sense hue hew
leas lase nae nay
baler bailor sleight slight
might mite word whirred
chuff chough conquer conker
alms arms wheel we'll
appetite apatite hoard horde
room rheum spay spae
mussed must pane pain
ate ait bizarre bazaar
gourde gourd yaw your
hurts hertz ryes rise
whore hoar veil vale
bowed bode florescence fluorescence
lox lochs nye nigh
bays baize philter filter
booty bootee camera camara
heart hart innocence innocents
bus buss planar plainer
rest wrest right rite
expedience expedients stade stayed
coolie coolly eve eave
bogie bogy wynn win
cant can't penance pennants
heald healed indict indite
kyte kite sew sow
complement compliment steak stake
whore hoar would wood
phiz fizz sequents sequence
pah pas relayed relaid
batt bat strider stridor
grate great hurdle hurtle
oak oke tied tide
burgher burger read reed
clack claque wry rye
burred bird phosphorous phosphorus
rathe wraith sighs size
lever leaver loch lough
immanent imminent led lead
baron barren your yaw
lama llama rood rude
prize prise ti tea
chord cord tea tee
lack lakh sole soul
hock hoc links lynx
basque bask rackett racquet
polar poller tease tis
mein mane xi sigh
bruise brews navel naval
kist cist impotence impotents
censor censer signet cygnet
friar fryer stade staid
awful offal broom brougham
cash cache queue kyu
bare bear quod quad
dual jewel mayor mare
call caul rose rows
rued rude stanch staunch
cannon canon minor mynah
assistants assistance wreak reek
dour dower mask masque
holey wholly racks wracks
are eyre sibilants sibilance
caster castor stater stator
senate sennet steel stele
seeder cedar dock doc
haw hoar in inn
aerie airy desert dessert
clique click pelisse police
kyu queue ordnance ordinance
eye i pax packs
seller cellar miscible missable
mach mack roomie roomy
eyrie airy spade spaed
borough burro calix calyx
bruit brute racket racquet
karat carrot lichen liken
belle bell paten pattern
i eye kohl cole
kneed knead moat mote
ai aye uncal uncle
hie hi sheik shake
kitten chiton were whir
sight cite gamble gambol
by bi heeled heald
deuce juice pa pas
gays gaze steppe step
martin marten to too
plate plait whose who's
adventurous adventuress tael taille
pie pi rude rood
florescence fluorescents wet whet
corps caw more maw
cellar seller peas pees
lowed load politic politick
purl pearl pomace pumice
hart heart pattern patten
cents cense tai tie
aye i wield wheeled
pah parr where ware
indigents indigence nave knave
cents cense road rowed
do dew minks minx
aery airy whoop hoop
klick click roc rock
fellow felloe whore haw
clique klick drupe droop
bittern bitten flew flu
dentil dental pah par
caws cause levin leaven
camara camera guest guessed
ate ait rain reign
disperse disburse pharming farming
fourth forth poller polar
kerb curb leader lieder
crummie crumby links lynx
claque clack salvor salver
pencel pensile whose who's
mac mack pleural plural
worn warn whose who's
crummie crummy pistil pistol
heir eyre statice status
aire ayre penni penny
clack claque roc rock
moose mousse pear pair
gibe jibe guessed guest
house hows taught torte
due dew preys prays
tier tire toed toad
cense scents mutuel mutual
lock loch spaed spade
coolly coulee presser pressor
eyrie airy tees teas
autarchy autarky read rede
luce loose populous populace
use ewes file faille
ale ail week weak
mil mill ruse rues
core caw whey weigh
owe oh redd red
impassable impossible whether weather
populus populous spayed spaed
cereal serial fissure fisher
roomer rumor stele steel
file faille impatiens impatience
build billed tapir taper
current currant irk erk
lux luxe pease pees
ate ait slew slue
conker conquer you're yaw
cosign cosine galley gally
camara camera weather wether
pick pic sandhi sandy
chukker chucker phlox flocks
hic hick rime rhyme
night knight serif seraph
knew gnu seek sic
sycosis psychosis way whey
draught draft laid leid
bar barre charred chard
exalt exult lac lakh
axle axil lager laager
gin jinn roe row
braes braise do doe
hurdle hurtle ruse roos
cot khat plaice place
kist cist paw pore
censor sensor poler poller
born bourn sank cinque
gaiter gator sewed sowed
lyse lice wail wale
bard barred betel beetle
furs firs lava larva
pa par tail tale
drachm dram waste waist
cirrous cirrus furs firs
neigh nae tael taille
cyst cist gel jell
freeze frees ley lei
censer sensor juice deuce
lance launce yolk yoke
bailee bailie tie tai
anti auntie height hight
hawed horde sack sacque
pique peek soled sold
sees seas soot suit
buyer byre thyme time
metal mettle wheeled weald
kist kissed remark remarque
he'll heal quean queen
bust bussed idyll idol
bawled balled tuba tuber
incite insight sacque sac
red redd rows rhos
braes brays paw pore
birth berth cession session
bell bel lute loot
senses census hied hide
ceder cedar shire shyer
tale tael vein vain
lase leis serge surge
cel cell liar lier
meat mete pecten pectin
gnar knar poky pokey
berry bury watt wot
massed mast yore your
preys prays wurst worst
grade grayed pend penned
ayre eyre hire higher
i ai wether weather
choler collar seine sane
drachm dram vise vice
galley gally wee whee
mourn morn pika pica
midi middy surge serge
faze fays mat matte
laze lays pokey poky
turn tern therefor therefore
lack lakh remarque remark
arms alms there they're
fizz phiz therefor therefore
passable passible so sow
chine chin tighten titan
braze braise dray drey
bier beer mourning morning
seller cellar won one
coolly coulee house how's
elicit illicit ween wean
axel axle feral ferule
instillation installation sighed side
bogy bogie picks pix
adventurous adventuress jest gest
gally galley roes rhos
right wright tri try
martial marshal prophecy prophesy
lakh lac wrack rack
idyll idle rede read
all awl sow so
premier premiere verger verdure
balm bomb ferule feral
bailer bailor timbre timber
adze adds pas par
axseed accede lakh lack
coup coo stake steak
redd read trussed trust
confectionery confectionary we'll wheel
ensure insure peel peal
braze brays sennet sennit
hoard horde know no
cinque sink mandrill mandrel
feaze feeze white wite
clique klick flower flour
heir eyre sigh psi
mete meat tease teas
buy bye mot mho
bawd baud haik hike
chukker chucker remittance remittence
done dun pour paw
sennet senate wee we
re ray turn terne
steal steel weather whether
bridle bridal wheel weal
tongue tung warrantee warranty
pail pale stoop stupe
sacque sac warred ward
kohl coal floe flow
chock choc talk torque
doe doh lean lien
kyu queue leys lays
pleas please poler polar
rends wrens rosery rosary
youse yews mack mac
sown sone tapir taper
crepe crape verdure verger
bittern bitten turn tern
burgher burger parr pas
attendance attendants buss bus
flier flyer lea lei
bailer bailor senses census
cay key sick sic
cere seer forward foreword
wright right soar sore
knap nap mach mac
faro pharaoh tonne ton
fraise frays wholly holey
by bye hurdle hurtle
baa bah some sum
die dye mark marque
cocoa coco mantle mantel
absents absence koi coy
betel beetle coral choral
border boarder rale rail
whore haw marten martin
sorry sari sew so
chard charred mill mil
breech breach frieze frees
absence absents radical radicle
rows rhos there they're
ait ate lock loch
chitin chiton guessed guest
frank franc tics tix
i'll aisle sower sewer
lone loan steak stake
oar or saver savor
drupe droop salvor salver
pics pix weakly weekly
not knot licker liquor
brake break quints quince
genes jeans nun none
sight site main mane
cachou cashew mack mach
bailey bailee flow floe
hanger hangar much mutch
asse as paw poor
meddle medal wear where
eyrie airy launce lance
nix nicks rigger rigor
dues douce tire tier
fayre fair nark narc
disburse disperse taille tael
cruel crewel gaffe gaff
horde hawed poller polar
attendants attendance lamb lam
right write roc rock
mien mesne neigh nae
bailey bailee lava larva
desert dessert pressor presser
tai tye too to
infuser infusor sunn sun
ayre air calyx calix
braise braze kitten chitin
done dun we'll weal
bi buy nay nae
know no wood would
correspondents correspondence whirred word
lochs lox sea see
conker conquer rang wrang
fluorescence florescence more moor
shoo shoe war wore
furs firs spec speck
eyre ayre coat cote
philter filter flier flyer
bailie bailee pokey poky
based baste sort sought
youse use tare tear
ads adze fey fay
fear fere whin wynn
firs furs flare flair
core corps llama lama
lock lough tighter titer
instillation installation raise raze
wrack rack stupe stoup
gourde gaud heeled heald
came kame grocer grosser
yews ewes tun tonne
awe or peer pier
awk orc pix pyx
coulee coolly wright write
gest jest main mein
cored cord lakh lac
crumby crummy we'll wheal
crewel cruel logger laager
youse ewes presents presence
apse apps duct ducked
dun done residence residents
mussed musth pouf pouffe
ayre eyre dissidence dissidents
morn mourn tern terne
pica pika weir we're
awful offal tun tonne
slight sleight whir were
batt bat tye tie
weigh whey whit wit
hair hare pah par
seraph serif warred ward
bazaar bizarre braes braise
censer sensor cubical cubicle
mints mince sun sunn
knickers nickers raise raze
scull skull toad towed
or ore wield weald
awk auk erupt irrupt
pressed prest whee we
axle axil installation instillation
bitt bit doh dough
phial file we're weir
cruise crews tun ton
crosse cross shear sheer
faker fakir fills fils
rede reed so sew
eye ai road rode
are air gourde gourd
pallet palette spits spitz
disk disc fils fills
phish fish vary very
bi by wind whined
gourde gored troop troupe
ruse rues story storey
isle aisle hose hoes
lose loos slew slue
kohl cole days daze
delinquence delinquents sore saw
oar ore ring wring
sellar seller heigh hey
cokes coax haw whore
caries carries lode load
so sow yaw yore
bailie bailey wane wain
par pas taught torte
mic mike mussel muscle
alms arms racket racquet
phreak freak slough slue
bait bate stoup stoop
dual jewel marc mark
due dew rho row
tacked tact wean ween
invade inveighed teas tis
lore law pencil pencel
fils fills rood rude
rondeau rondo uncal uncle
peak peek tuba tuber
mane mein parol parole
resew resow tix tics
presidents precedence rho row
acclimation acclamation peak pique
sear cere pouf poof
leas lase sun sunn
auntie anti nae nee
chyle kill mordant mordent
bocks box hour our
karat carrot do dew
pours pause wheeled wield
lichen liken review revue
carol carrel hawed whored
phenyl fennel right wright
creak creek tahr tar
meat mete presidents precedence
pour pore tooter tutor
braze brays world whirled
cops copse prays praise
cay key guerilla gorilla
cymbal symbol turbine turban
win whin yule you'll
fare fair lager laager
aire are steppe step
block bloc roux roo
feeze feaze teas tis
feat feet leader liter
gaffe gaff peek peak
culler color desert dessert
mall maul racks wracks
crummy crumby kyu queue
burg berg tocsin toxin
bailee bailie war wore
adventuress adventurous nix nicks
ail ale are aire
haw hoar vain vane
lane lain levin leaven
chord cord codling coddling
gays gaze lessor lesser
cocoa coco par pas
aire heir foul fowl
feign fane si sea
marc marque paten patten
burd bird shoo shoe
caird cared load lowed
poor pour weekly weakly
police pelisse skull scull
lain lane plainer planar
cinque sank youse use
mien mean mussed must
higher hire pean peen
matte mat weaner wiener
spay spae tale taille
been bin shone shown
discreet discrete shake sheik
spayed spaed tick tic
cinque sink tore tor
marque mark presence presents
apse apps correspondence correspondents
illusion elusion ewe you
baler bailor cast caste
be bee froe fro
bailor bailer which witch
hoar haw marc marque
bitt bit massed mast
sea see wave waive
doh do misses missus
peas pes quints quince
limb limn stridor strider
kite kyte rapt rapped
lead lede pics pyx
scents sense sack sacque
shoot chute incidence incidents
cain cane ooze oohs
hows house sault sou
coffer cougher wrens rends
far fah sennet sennit
chrism chrisom sennet sennit
deprivation depravation petrol petrel
barrel beryl versed verst
humerus humorous overdo overdue
cent scent shoo shoe
ad add rood rude
loon lune pours pause
isle aisle florescence fluorescents
blende blend mints mince
home holm low lo
floor flaw waste waist
calculous calculus seer cere
rackett racquet wacks wax
lessor lesser whacks wacks
hire higher pootle poodle
fungous fungus planer planar
pyx pics planer planar
caret karat presidents precedence
braze braes stupe stoop
licht licked wracks racks
in inn roo rue
logger laager tux tucks
eyer ire tix tics
queen quean wracks rax
ere heir politic politick
nob knob taille tale
bittern bitten joule dual
bight bite quoin coin
rue roux sweet suite
roomie rheumy shyer shire
erne urn owe oh
dependents dependence resistants resistance
psychosis sycosis taper tapir
bogey bogie jinn gin
klick clique plural pleural
urn erne raki rocky
meting meeting shire shyer
gaiter gator pees pes
row roe seamen seaman
chard charred grown groan
censor censer tooter tutor
eyed ide dependence dependents
cordate chordate wile while
bier beer licht licked
rime rhyme wrung rung
by buy eyelet islet
cousin cozen weal we'll
berry bury there their
khan conn jinn gin
bruit brut fluorescence fluorescents
currant current pes pease
joule dual wynd wind
handsome hansom led lead
heir ere hey heigh
hole whole lase leas
no know prophet profit
flay fley passible passable
ferry faery pix pyx
intents intense pole poll
mane mein tolled told
divisor devisor mucous mucus
ere are basque bask
chuff chough set sett
need kneed rood rued
kitten chitin for fore
cannon canon lowed load
sigh xi tees teas
dock doc marque marc
bier beer col caul
quay cay teem team
shown shone tale tail
pass parse tow toe
hear here rough ruff
bussed bused shea she
settler settlor valance valence
paced paste penned pend
whored horde poler polar
stayed stade threw through
paean peon taille tale
limn limb too to
faze fays fold foaled
cosey cosy humorous humerus
chaise shays musth must
coolly coulee recede reseed
soled sold tied tide
cist kissed syne sine
lesser lessor throw throe
rite right weal wheal
urn earn nu new
meat meet precedence presidents
innocents innocence sleigh slay
corps caw tuber tuba
canvas canvass vein vane
heir eyre caudle caudal
horde hawed peek pique
rows rose stye sty
hoarse horse knave nave
phosphorus phosphorous settlor settler
hertz hurts me mi
sensor censor chrism chrisom
barque bark seller cellar
gristly grisly mews muse
earn erne jealousy jalousie
beech beach rack wrack
delinquents delinquence gilled gild
karat caret planer planar
core corps cosine cosign
insight incite mean mien
clairvoyance clairvoyants paws pours
air ayre pique peak
riot ryot wynd whined
erk irk faery ferry
aide aid wind winned
eye ai fairy ferry
dough doe whacks wax
par pah pall pawl
days daze pharma farmer
plum plumb whacks wacks
auk awk police pelisse
sol sole spore spoor
penitence penitents shire shyer
bourn bourne cruise cruse
bey bay peace piece
forth fourth logger laager
sensor censer symbol cymbal
staph staff torte taught
urn earn fungous fungus
canape canopy sere cere
pas parr sigh psi
toe tow whacks wax
beet beat right wright
draught draft pyxie pixie
borough burrow erne earn
devisor deviser whin wynn
mussel muscle rain reign
augur auger yoke yolk
lager logger lyre lier
ale ail sics six
dew due pees pes
buy bi chantey chanty
missable miscible shear sheer
cel cell knee nee
foul fowl tar tahr
residents residence whine wine
nee nae poll pole
camera camara roll role
millinery millenary wrens rends
gin jinn pics picks
bray brae tuff tough
coulis coulee whoop hoop
reel real whale wail
ceil seel less loess
baloney bologna healed heald
forward foreword two to
incite insight raze raise
earn urn wear ware
dents dense graft graphed
sheik chic vile viol
gallipot galipot lakh lack
cordate chordate chute shoot
bold bowled sown sone
reek wreak wade weighed
cored chord rondeau rondo
ghat got read rede
bray brae chukker chucker
booty bootee praise prays
sleeve sleave soot suit
burr bur verst versed
sashay sachet tonne tun
asse ass cirrus serous
leaven levin pa par
sent scent compliment complement
fare fayre rite right
douce dues knew nu
burrow borough pencel pencil
carrel carol spade spaed
chord cored par pah
baron barren not knot
caddy caddie choc chock
sow sew watt what
hight height lay lei
heir eyre moor more
nose knows sleeve sleave
awk auk wynd wind
sent cent here's hears
rotor rota watt wot
quay key troche trochee
door dor ryes rise
carat karat seer sere
devisor divisor weaner wiener
hoc hock valence valance
sell cell settlor settler
dyeing dying sort sought
aloud allowed wild whiled
queue kyu glare glair
calender calendar sex sects
use ewes valance valence
plainer planar squaller squalor
bouillon bullion sow sew
klick clique medal meddle
bi bye sou sue
disburse disperse sibilance sibilants
knock nock ticks tix
byte bite why wye
brooch broach pe pea
gnar knar lear leer
forebear forbear tonne ton
hic hick mandrill mandrel
bailee bailey bi buy
sheik chic source sauce
knew nu holey holy
flu flew tuff tough
sects sex wight white
ewe you titer tighter
aerie airy scye xi
kerb curb mustered mustard
healed heeled rude rood
whored hoard wait weight
mesne mien packed pact
cell cel condescendence condescendents
illusion allusion apps apse
hue hew mi me
band banned bel bell
miner minor pours pause
isle i'll tis tease
gator gaiter try tri
caw corps shanty chantey
lyre lier pees peas
eye aye prophesy prophecy
chary cherry pique peke
ceiling sealing peas pes
four for herds hurds
ante auntie heel he'll
censor senser shire shyer
pharaoh faro gaiter gator
bust bussed lance launce
rhos rows vile vial
ferrule ferule gorde gored
ferule feral rho roe
signet cygnet whorled whirled
knot not right rite
our hour nye nigh
ilium ileum lays leas
si sea tell tel
brute brut caddy caddie
